Country or Area,Item,Year,Series,Value
Austria,Food and non-alcoholic beverages,2007,1000,14762200000
Austria,Food and non-alcoholic beverages,2007,400,15015624000
Austria,"Alcoholic beverages, tobacco and narcotics",2007,1000,4909490000
Austria,"Alcoholic beverages, tobacco and narcotics",2007,400,4945325000
Austria,Clothing and footwear,2007,1000,8905240000
Austria,Clothing and footwear,2007,400,8786258000
Austria,"Housing, water, electricity, gas and other fuels",2007,1000,30826240000
Austria,"Housing, water, electricity, gas and other fuels",2007,400,30873637000
Austria,Transport,2007,1000,19629470000
Austria,Transport,2007,400,19028265000
Austria,Communication,2007,1000,3679880000
Austria,Communication,2007,400,3674928000
Austria,Food and non-alcoholic beverages,2006,1000,14145190000
Austria,Food and non-alcoholic beverages,2006,400,14389900000
Austria,"Alcoholic beverages, tobacco and narcotics",2006,1000,4683760000
Austria,"Alcoholic beverages, tobacco and narcotics",2006,400,4669049000
Austria,Clothing and footwear,2006,1000,8652340000
Austria,Clothing and footwear,2006,400,8596117000
Austria,"Housing, water, electricity, gas and other fuels",2006,1000,30211900000
Austria,"Housing, water, electricity, gas and other fuels",2006,400,30148210000
Austria,Transport,2006,1000,19146760000
Austria,Transport,2006,400,18676902000
Austria,Communication,2006,1000,3716490000
Austria,Communication,2006,400,3711717000
Austria,Food and non-alcoholic beverages,2005,1000,13829410000
Austria,Food and non-alcoholic beverages,2005,400,14062195000
Austria,"Alcoholic beverages, tobacco and narcotics",2005,1000,4759200000
Austria,"Alcoholic beverages, tobacco and narcotics",2005,400,4752179000
Austria,Clothing and footwear,2005,1000,8441840000
Austria,Clothing and footwear,2005,400,8404182000
Austria,"Housing, water, electricity, gas and other fuels",2005,1000,28826230000
Austria,"Housing, water, electricity, gas and other fuels",2005,400,28888430000
Austria,Transport,2005,1000,18299310000
Austria,Transport,2005,400,17889668000
Austria,Communication,2005,1000,3720890000
Austria,Communication,2005,400,3716423000
Austria,Food and non-alcoholic beverages,2004,1000,13413590000
Austria,Food and non-alcoholic beverages,2004,400,13617324000
Austria,"Alcoholic beverages, tobacco and narcotics",2004,1000,4508490000
Austria,"Alcoholic beverages, tobacco and narcotics",2004,400,4504615000
Austria,Clothing and footwear,2004,1000,8211900000
Austria,Clothing and footwear,2004,400,8153413000
Austria,"Housing, water, electricity, gas and other fuels",2004,1000,26384880000
Austria,"Housing, water, electricity, gas and other fuels",2004,400,26390644000
Austria,Transport,2004,1000,17341070000
Austria,Transport,2004,400,17236226000
Austria,Communication,2004,1000,3686750000
Austria,Communication,2004,400,3680730000
Austria,Food and non-alcoholic beverages,2003,1000,12877870000
Austria,Food and non-alcoholic beverages,2003,400,13042931000
Austria,"Alcoholic beverages, tobacco and narcotics",2003,1000,4443650000
Austria,"Alcoholic beverages, tobacco and narcotics",2003,400,4437969000
Austria,Clothing and footwear,2003,1000,8077330000
Austria,Clothing and footwear,2003,400,7988119000
Austria,"Housing, water, electricity, gas and other fuels",2003,1000,24913410000
Austria,"Housing, water, electricity, gas and other fuels",2003,400,24953238000
Austria,Transport,2003,1000,16483750000
Austria,Transport,2003,400,16497783000
Austria,Communication,2003,1000,3524990000
Austria,Communication,2003,400,3521138000
Austria,Food and non-alcoholic beverages,2002,1000,12668830000
Austria,Food and non-alcoholic beverages,2002,400,12799861000
Austria,Food and non-alcoholic beverages,2002,200,15110859000
Austria,"Alcoholic beverages, tobacco and narcotics",2002,1000,4388160000
Austria,"Alcoholic beverages, tobacco and narcotics",2002,400,4378046000
Austria,"Alcoholic beverages, tobacco and narcotics",2002,200,3619869000
Austria,Clothing and footwear,2002,1000,8175430000
Austria,Clothing and footwear,2002,400,8084187000
Austria,Clothing and footwear,2002,200,7964348000
Austria,"Housing, water, electricity, gas and other fuels",2002,1000,24078870000
Austria,"Housing, water, electricity, gas and other fuels",2002,400,24029918000
Austria,"Housing, water, electricity, gas and other fuels",2002,200,23887111828
Austria,Transport,2002,1000,15757110000
Austria,Transport,2002,400,15884901000
Austria,Transport,2002,200,16231845000
Austria,Communication,2002,1000,3356920000
Austria,Communication,2002,400,3353044000
Austria,Communication,2002,200,4175593000
Austria,Food and non-alcoholic beverages,2001,1000,12441160000
Austria,Food and non-alcoholic beverages,2001,400,12571747000
Austria,Food and non-alcoholic beverages,2001,200,14951111000
Austria,"Alcoholic beverages, tobacco and narcotics",2001,1000,4173120000
Austria,"Alcoholic beverages, tobacco and narcotics",2001,400,4163329000
Austria,"Alcoholic beverages, tobacco and narcotics",2001,200,3470073000
Austria,Clothing and footwear,2001,1000,8110250000
Austria,Clothing and footwear,2001,400,8032776000
Austria,Clothing and footwear,2001,200,7944783000
Austria,"Housing, water, electricity, gas and other fuels",2001,1000,23505220000
Austria,"Housing, water, electricity, gas and other fuels",2001,400,23526475000
Austria,"Housing, water, electricity, gas and other fuels",2001,200,23812450200
Austria,Transport,2001,1000,15221390000
Austria,Transport,2001,400,15412136000
Austria,Transport,2001,200,15397937000
Austria,Communication,2001,1000,3324300000
Austria,Communication,2001,400,3319742000
Austria,Communication,2001,200,4164878000
