Country or Area,Year,Value
Austria,2007,200203130000
Austria,2006,193411720000
Austria,2005,185281530000
Austria,2004,175732350000
Austria,2003,168876550000
Austria,2002,163586510000
Austria,2001,160675830000
Austria,2000,155617080000
Austria,1999,149268950000
Austria,1998,144473650000
Austria,1997,139859330000
Austria,1996,136501070000
Austria,1995,131091910000
Austria,1994,126454363459
Austria,1993,120750920925
Belgium,2007,247278000000
Belgium,2006,236462000000
Belgium,2005,226523000000
Belgium,2004,217471000000
Belgium,2003,208974000000
Belgium,2002,203082000000
Belgium,2001,196847000000
Belgium,2000,190005000000
Belgium,1999,179475000000
Belgium,1998,174164000000
Belgium,1997,167846000000
Belgium,1996,163045000000
Belgium,1995,158101000000
Belgium,1994,152693892424
Belgium,1993,145952147953
Finland,2007,129987000000
Finland,2006,123274000000
Finland,2005,117216000000
Finland,2004,112215000000
Finland,2003,107607000000
Finland,2002,102433000000
Finland,2001,97651000000
Finland,2000,92126000000
Finland,1999,87730000000
Finland,1998,83924000000
Finland,1997,79119000000
Finland,1996,75256000000
Finland,1995,71828000000
Finland,1994,68041000000
Finland,1993,66172000000
France,2007,1501661000000
France,2006,1439283000000
France,2005,1382828000000
France,2004,1327128000000
France,2003,1274119000000
France,2002,1229274000000
France,2001,1184046000000
France,2000,1136645000000
France,1999,1077776000000
France,1998,1044060000000
France,1997,1010522000000
France,1996,991721000000
France,1995,956199000000
France,1994,929440548530
France,1993,906260459533
Germany,2007,1824640000000
Germany,2006,1793235000000
Germany,2005,1751547000000
Germany,2004,1722003000000
Germany,2003,1701664000000
Germany,2002,1672559000000
Germany,2001,1654996000000
Germany,2000,1604454000000
Germany,1999,1565451000000
Germany,1998,1520460000000
Germany,1997,1495661000000
Germany,1996,1472564000000
Germany,1995,1439175000000
Germany,1994,1390475000000
Germany,1993,1334560000000
Greece,2007,198611203226
Greece,2006,183766928527
Greece,2005,171701296240
Greece,2004,161123219247
Greece,2003,149789777076
Greece,2002,139552310748
Greece,2001,129168653371
Greece,2000,120276616560
Greece,1999,113340101422
Greece,1998,105846374397
Greece,1997,96804256387
Greece,1996,88166858352
Greece,1995,79835281364
Greece,1994,69769379397
Greece,1993,62284246096
Ireland,2007,122996895300
Ireland,2006,111690251000
Ireland,2005,101958058800
Ireland,2004,93880466800
Ireland,2003,88448210000
Ireland,2002,82345828900
Ireland,2001,74567876600
Ireland,2000,67047275400
Ireland,1999,57981896200
Ireland,1998,51620489300
Ireland,1997,46141396700
Ireland,1996,41959274600
Ireland,1995,38341237900
Ireland,1994,36138340900
Ireland,1993,33799346900
Italy,2007,1258248398078
Italy,2006,1222402943215
Italy,2005,1176988000075
Italy,2004,1133298507944
Italy,2003,1091454386824
Italy,2002,1047531647108
Italy,2001,1014109216933
Italy,2000,972099204760
Italy,1999,916655138107
Italy,1998,879734370477
Italy,1997,839330279608
Italy,1996,796081350671
Italy,1995,753638085123
Italy,1994,710939419300
Italy,1993,673708300700
Luxembourg,2007,17667446000
Luxembourg,2006,16843427000
Luxembourg,2005,16051099000
Luxembourg,2004,15314498000
Luxembourg,2003,14624219000
Luxembourg,2002,13857317000
Luxembourg,2001,13003579000
Luxembourg,2000,12166514000
Luxembourg,1999,11348568000
Luxembourg,1998,10400069000
Luxembourg,1997,10106445000
Luxembourg,1996,9666998000
Luxembourg,1995,9263621000
Luxembourg,1994,8831624692
Luxembourg,1993,8321424188
Netherlands,2007,422671000000
Netherlands,2006,404033000000
Netherlands,2005,384184000000
Netherlands,2004,374059000000
Netherlands,2003,366956000000
Netherlands,2002,355925000000
Netherlands,2001,336117000000
Netherlands,2000,315550000000
Netherlands,1999,293851000000
Netherlands,1998,275037000000
Netherlands,1997,256837000000
Netherlands,1996,242459000000
Netherlands,1995,231972000000
Netherlands,1994,221187239964
Netherlands,1993,211739139336
Portugal,2007,148393551000
Portugal,2006,141320218000
Portugal,2005,135562360000
Portugal,2004,128105550000
Portugal,2003,121756570000
Portugal,2002,117343220000
Portugal,2001,111478135000
Portugal,2000,105698651000
Portugal,1999,97308026000
Portugal,1998,90071666000
Portugal,1997,83406469000
Portugal,1996,78060290000
Portugal,1995,73184285000
Portugal,1994,69435039900
Portugal,1993,64830043800
Spain,2007,806882000000
Spain,2006,752142000000
Spain,2005,697774000000
Spain,2004,646942000000
Spain,2003,597730000000
Spain,2002,562925000000
Spain,2001,530079000000
Spain,2000,493903000000
Spain,1999,454763000000
Spain,1998,424940000000
Spain,1997,400460000000
Spain,1996,380680000000
Spain,1995,361029000000
Spain,1994,338387375616
Spain,1993,321275837641
